cell_line_id,drug_id,response
NCI-H2085,24978538,-1.0202457746432807
NOMO-1,doxorubicin-navitoclax (2-1 mol-mol),-1.0823481762060787
VM-CUB-1,5281321,1.1660352164925845
SH-10-TC,66577038,3.3068577194215205
SK-MEL-3,135875424,4.254537076795971
KMS-12-BM,227681,1.85871490335109
HCC1143,4261,1.976797651434544
CAL-62,12001922,2.1383279245882747
COLO 741,11455910,3.212603536123838
BxPC-3,54618164,4.016743819691475
BT-549,3025944,4.080638158593822
SUP-M2,107970,1.4120118261465122
A4/Fukuda,374536,-1.0311095755670416
SNU-61,24748573,1.6967337473161408
SNU-685,4096211,2.334510704712381
BT 245,135659046,4.182181998244751
JeKo-1,24856436,-2.277235589011733
Capan-2,409805,6.718498972992748
NCI-H1703,navitoclax-birinapant (1-1 mol-mol),-0.97989284151822
BT 245,doxorubicin-navitoclax (2-1 mol-mol),-1.4892094322491367
SNU-840,10184653,-1.503469081959033
Hs 729.T,11238147,3.4896829871398607
YKG-1,6450551,3.4208466602547833
LUDLU-1,11640390,2.9494788399774947
KMS-21-BM,11626560,0.246143563997703
NCI-H1341,24753719,4.054742398972124
COV644,71304818,1.8397461714174357
HEL 92.1.7,45279963,3.067891864906322
SK-ES-1,9933475,1.600222441003181
ONCO-DG-1,3025944,5.312609048244586
COLO 800,5280436,3.6759230860799352
A-375,10427712,4.384456955682716
SET-2,7251185,1.3721361326487145
CAL-120,568763,2.119807243986414
SU-DHL-10,16736978,0.9719850763210158
TE-1,67291369,2.5080547078249027
SF268,11507802,0.544477504874045
Jurkat,10113978,2.0392732539867264
NCC-StC-K140,444795,2.80174580023504
SUP-HD1,decitabine-navitoclax (2-1 mol-mol),-1.524731549205507
NCI-H146,46199207,1.7925573568525552
HeLa,10074640,3.4121625661494988
VM-CUB-1,1641662,2.82347267237452
NCI-H322,51037431,4.584670703008633
DMS 454,15547703,4.260581888657995
SK-BR-3,11455910,1.4950616471057503
NCI-H841,969516,2.2143592629968194
T24,246676,4.650292847742773
KALS-1,613000,3.2308531921872103
MeWo,selumetinib-vorinostat (8-1 mol-mol),0.3610205668495764
U266B1,72199292,1.028275773772463
TT2609-C02,3543504,5.334554193562649
A101D,navitoclax-piperlongumine (1-1 mol-mol),2.6603481541333744
