cell_line_id,drug_id,response
OCI-M1,11485656,1.896897846334656
GSS,16736978,0.4010815939480577
SW1710,17759555,4.712669359007871
TALL-1 [Human adult T-ALL],19582717,3.942818499956544
LAMA-84,25262965,-2.2297576749162658
COLO 320,9907093,3.5833831826271902
HDLM-2,10113978,2.1407029633226915
786-O,60750,-4.199941501843244
MHH-CALL-3,44589607,2.054698397055375
SCC-9,42642645,1.380036396261508
HCC1569,11222830,1.13159669027419
SK-ES-1,3689413,-2.1650070700779582
OC 314,4477,-0.0307587426667245
PE/CA-PJ49,5470400,0.1521447371968943
LOX-IMVI,12003241,-2.813518393614124
SU.86.86,969516,2.5077518137312733
CAL-29,445643,3.9823594883294433
GCT,2842253,5.976513098098426
BT 245,5328940,1.7328762596340126
NCI-H2029,135398516,4.404579723011973
RVH-421,piperlongumine-MST-312 (1-1 mol-mol),2.319826495056603
NCI-H1568,navitoclax-piperlongumine (1-1 mol-mol),1.526760839095053
Hs 729.T,44566777,1.00976327353992
SNU-1076,208908,-0.1788096243677462
NCI-N87,446155,3.321702095578996
ECC10,53325874,4.395938924507053
Hs 683,73707398,1.2895938784946597
Lu-65,11167602,5.906692389190635
Becker,53392493,3.211103768073299
SW579,11222830,1.7134580490833389
OV-90,carboplatin-etoposide (40-17 mol-mol),3.5524873078613326
LOX-IMVI,46843906,1.6952951452127063
NCI-H841,4705,3.1864652961877917
NCI-H889,46224516,2.18873963990653
LXF 289,53232,1.5859701947912777
J82,613753,3.326432960104838
BICR 31,navitoclax-pluripotin (1-1 mol-mol),-0.5418229135264367
SNU-1105,11404337,0.7156656202798479
HCC1588,navitoclax-pluripotin (1-1 mol-mol),-0.2956137310631563
OV-90,11175137,3.702235286982362
SNU-738,9887053,4.4132262532624225
SNU-685,9915743,3.119233801889696
PK-1,676352,2.2294680506272067
SW48,25262965,-0.5589271325062998
RVH-421,46199207,3.7109168094072458
DMS 454,60750,-1.9083501018947464
CCF-STTG1,selumetinib-PLX-4032 (8-1 mol-mol),4.768335875629478
MKN1,89928392,3.2577399837426055
MOTN-1,24180719,3.5804113680618177
CAL-62,446155,0.5161639169053042
SK-MEL-28,24797083,2.1143227978428714
COLO 680N,SNX-2112-bortezomib (250-1 mol-mol),0.91361876041956
UO-31,44507138,3.626986646383689
Panc 10.05,44484893,3.9470749822614177
NCI-H2444,44202524,5.248336389049565
Peer,24785538,-0.0774055874444864
JHOC-5,984333,1.6603073450932757
BT 228,2729026,1.8094400941179165
HCT 15,16013152,3.9831380106348417
NCO2,11238147,1.5936993740294598
SH-4,53325874,4.190481909930219
SF295,11626560,2.404098314231099
