cell_line_id,drug_id,response
MOLM-13,16219061,2.363003680724254
OVCAR-5,54765302,4.464092723827527
SF126,6505803,1.4927738710676783
GP2d,25227462,1.7518082926517873
SNU-601,241158,4.328788935254692
KE-97,9843750,6.147145597858424
HuP-T4,46943432,0.958551174490495
YD-8,20959075,0.9850613920765108
NCI-H889,11964036,2.0188706523498925
NCI-H1184,3815108,1.2578508406802194
GB-1,9825149,2.0636215937698865
OV7,15953870,4.174779124734957
NALM-6,2874250,4.8447729032076765
OCI-Ly10,227681,3.0370888738772304
CAL-51,135411,0.595745817277345
GCT,56646779,5.409523270128596
NCI-H1915,89183176,5.502694970977313
A2058,4917,1.839377660298953
SNU-503,4477,1.0253993930238885
SU-DHL-8,5328940,0.88758778976945
Becker,216345,4.415529131137277
AU565,5278396,3.257778157431963
SW1271,16725315,3.214819296898604
YKG-1,navitoclax-piperlongumine (1-1 mol-mol),3.397056870192574
SNU-869,11719255,4.153239962788067
RMG-I,446155,4.081236745913347
NCI-H2172,54618305,4.356498397814067
EFM-192A,JQ-1-MK-0752 (1-1 mol-mol),1.6227165753859532
CAL-54,24771867,2.8343015730904333
OAW28,11626560,1.7877294085158288
TE 441.T,6918638,0.7814615450050921
JJN-3,54613361,0.1671059830048961
HSC-4,73707371,4.771220465805862
TE-14,2828334,6.478723150548911
CML-T1,9823820,1.5491308586448294
NCI-H1703,15953870,3.950055362058786
SK-BR-3,6918638,-0.1564610837276475
KE-39,54618305,4.948156947347383
A3/Kawakami,122327,4.088752244537169
MDA-MB-453,637858,1.2138352699902215
CHP-126,72193861,0.5773092718534285
OV-90,104842,-1.2410529898436808
JVM-2,72193861,-0.0006499382465215
HCT 8,6450551,3.929480453184804
MOLT-13,984333,0.6864125010152303
G-401,decitabine-navitoclax (2-1 mol-mol),2.109547843543789
HCC366,53232,2.4771046505057455
SW1783,3689413,0.540292166648154
JURL-MK1,31703,-2.2595678137903525
HCT 15,322968,4.403722798977623
SNU-81,selumetinib-navitoclax (8-1 mol-mol),-4.808792251277437
AML-193,10231331,0.6322489911417504
MJ,2858523,3.220847662201125
OCI-AML-2,4259181,-1.46222192980106
A-375,5280436,3.577602535759465
P-STS,24964624,3.0871673384478933
KLE,alisertib-navitoclax (2-1 mol-mol),-2.1079832786046486
A4/Fukuda,9903786,0.7546004224414102
LCLC-103H,439501,-2.3624899744714956
NCI-H1975,6918837,-4.675500847221018
GDM-1,446155,3.665084539854112
MEC-1,15953870,3.2315358904774407
SNU-407,5951923,6.327624285641753
RT-4,25126798,3.4225327599877096
KYSE-510,135984461,4.447866088850815
BT-20,65064,5.597234577000038
ES-2,25126798,4.086905867611972
JIMT-1,46398810,3.1310531193454705
Rh18,49793307,-0.6984584645843561
EoL-1,637858,0.3936490265761631
CL-11,11317348,1.564107804694709
Mel JuSo,104842,-0.1478340828759993
NCI-H441,119607,5.960953969096356
SNU-1033,navitoclax-piperlongumine (1-1 mol-mol),1.3513123030743783
MFE-319,1716436,3.800957721302237
NCI-H69,11234052,4.00250759475051
Daoy,1641662,3.530510225617141
RERF-LC-A1,1641662,3.0719688089781565
SNU-245,9936388,-0.9809692402129652
MKN1,168312962,-2.574298844258664
MDA-MB-361,46215462,3.069334682386629
J82,42642645,0.9682340642698132
HCC1428,navitoclax-gemcitabine (1-1 mol-mol),2.886077773129037
Hep-G2,66577038,2.115823311856728
PC-14,4096211,1.790962002826893
RCM-1 [Human rectal adenocarcinoma],16065773,2.083422102332506
253J,11626560,1.4997491281932864
Detroit 562,5291,2.7844871071632222
SK-MEL-1,9911463,4.223226979936513
PF-382,2708,3.3018060761805774
MOTN-1,16659841,3.134394488427326
G-292 clone A141B1,5282054,3.7522581656694656
Toledo,selumetinib-JQ-1 (4-1 mol-mol),4.9688453289491115
NCI-H1869,9903786,3.8309501172404734
KMS-20,5311037,3.3328695016599132
WSU-DLCL2,60750,-4.8644958629159385
COV362,216345,3.925128471224712
A-204,285033,-4.2979562940632405
LUDLU-1,71751553,4.8619324376076785
WM983B,9907093,4.634368442809879
DLD-1,alisertib-navitoclax (2-1 mol-mol),-0.5215358119684363
NCI-H2444,56946209,-4.215509463160091
KYSE-520,SNX-2112-bortezomib (250-1 mol-mol),-1.0950181011109257
BT-474,11485656,2.39208559559141
