cell_line_id,drug_id,response
PE/CA-PJ49,16736978,2.0157573091231957
JHUEM-2,322968,2.35155179173017
AU565,5311,0.7700744364318666
SNU-878,400769,-0.3899722045785255
NCI-H1385,15983966,0.6840916386122672
OE19,2858523,3.3379553168443516
BT 328,17755052,2.7457916392526247
NCI-N87,8515,4.286102801865053
SNG-M,3503,2.7376084805865535
BT 328,3634881,2.884291919608293
BT 328,16219061,3.835550220565251
MKN74,9967941,2.5474481532118
IST-Mes1,25150857,2.301198962208278
BT 286,241158,3.931607244311501
AU565,54596558,3.073830584555768
JHUEM-2,4096211,-0.0871446915143139
PE/CA-PJ34 (clone C12),crizotinib-PLX-4032 (2-1 mol-mol),2.0573857462256124
SNU-878,49766530,0.7388609615880275
AU565,navitoclax-birinapant (1-1 mol-mol),2.4267027556232836
MKN74,44543605,3.871516671924641
SNU-878,46199207,3.4980681897692594
NCI-N87,322968,2.9452063604799417
VMRC-RCW,4259181,0.791876678188995
PE/CA-PJ49,60750,-3.629491275028382
NCI-H2122,16741245,3.5287910754439578
PE/CA-PJ34 (clone C12),5479543,3.749651315015809
SNU-1033,4705,2.6216736811916044
BT 330,11152667,1.4109610692427392
BT 286,148198,-5.76188834046235
MKN74,25161177,4.305281431376363
SNG-M,5335621,4.406273009704696
BT 286,9952709,2.5643743915301145
JHUEM-2,5311281,0.0421337573518187
PE/CA-PJ34 (clone C12),19582717,5.2106352925132375
PE/CA-PJ49,46215462,1.5914258688265177
NCI-H2122,selumetinib-piperlongumine (8-1 mol-mol),4.333311100795728
OE19,46843906,3.61512320309457
PE/CA-PJ49,19582717,2.9784501499232414
PE/CA-PJ49,5738263,3.49385120973068
SNG-M,navitoclax-sorafenib (1-1 mol-mol),1.6843878802316516
AU565,11494412,-0.7938994603064
NCI-N87,374536,0.3041613365805376
BT 286,11955716,-2.2212839478685393
BT 328,400769,0.7243238216549931
NUGC-4,tretinoin-navitoclax (4-1 mol-mol),0.6936865632205451
VMRC-RCW,53495165,1.5460949122877168
SNU-878,5281321,-2.0956841026980784
VMRC-RCW,54618771,0.4533300000402974
MKN74,45279963,4.038064179489957
NCI-N87,9825149,1.7110175659097178
VMRC-RCW,selumetinib-JQ-1 (4-1 mol-mol),1.8426593764457728
NCI-H1385,56946209,-4.7350544252318585
AU565,6610355,3.967539400054512
BT 330,49766530,-1.7517349908544686
OE19,4788,6.015857088643001
OE19,3854666,3.0187887298383926
IST-Mes1,9926054,1.778703370274458
MKN74,44491742,4.321441779997771
VMRC-RCW,54618164,4.1951410650073235
BT 330,11178236,-5.971414065790444
OE19,navitoclax-pluripotin (1-1 mol-mol),0.4810522478669697
SNU-878,656346,-0.3016688054670181
IST-Mes1,448949,2.0697752718967677
SNG-M,20959075,-2.397326622850485
MKN74,6914657,-3.0057743487166686
BT 328,89928392,1.451353651421501
VMRC-RCW,46398810,2.31219618137834
NUGC-4,613753,2.5401467318559696
MKN74,107985,-2.988368566005849
NCI-H2122,613753,3.4686668096065465
SNU-1033,53392493,1.6848356880137518
NUGC-4,375860,-0.1996539544596114
IA-LM,25150857,2.846024040084871
BT 328,11175137,3.2083588182965705
BT 330,3465537,1.066825715550645
MKN74,3503,2.397657633163052
BT 330,409805,3.8422840862788386
VMRC-RCW,12003241,-1.0941298808716429
