cell_line_id,drug_id,response
BC-3C,11222830,1.94023462088946
TC-71,ISOX-bortezomib (250-1 mol-mol),0.4389117295392593
PLC/PRF/5,9866186,1.455978232017785
KMH-2,25126798,3.9705987433413976
PE/CA-PJ15,6252,2.755233482446364
KP-3,6438330,1.362030480673537
AsPC-1,76446078,5.483716778202627
PE/CA-PJ15,9956119,4.212049947291104
GSS,tretinoin-navitoclax (4-1 mol-mol),0.2217678368327082
AsPC-1,135440466,2.1679547773967314
GSS,10410894,2.4619799400555458
NUGC-3,2749,1.9758881841519624
BC-3C,42642645,1.452807214560988
KYSE-510,219104,4.784069254556684
PC-14,11497983,1.5451127638875048
PLC/PRF/5,11152667,1.7058073401634024
PC-14,9903786,1.3474672632704163
TC-71,UNC0638-navitoclax (1-1 mol-mol),4.936257961765979
KMH-2,6918328,-1.001210153531207
KMH-2,9444,2.9030886554096536
BT 112,selumetinib-vorinostat (8-1 mol-mol),2.3775465177087063
IMR-32,1750826,-4.804039609985568
NUGC-3,54618164,3.5634318473860658
IMR-32,11175137,0.9388658200014552
GSS,71466445,1.4608073960696302
PE/CA-PJ15,5329102,2.2036522902454454
HuP-T3,9926054,1.9266750805140576
PE/CA-PJ15,navitoclax-birinapant (1-1 mol-mol),3.0394243463811947
PLC/PRF/5,11612883,3.8925638411617296
SK-MEL-2,piperlongumine-MST-312 (1-1 mol-mol),1.4935345830806257
TC-71,44491742,3.7748114564226407
SK-MEL-2,selumetinib-PLX-4032 (8-1 mol-mol),2.2995519126398336
REC-1,24797083,0.9947998320631116
CML-T1,16038120,0.5708889366464743
D283 Med,44202524,1.228437692555833
BT 112,11238147,2.441031684026273
KYSE-510,46843906,4.090786338136028
KYSE-510,44137675,5.449832828121369
PE/CA-PJ15,400769,-0.9231632206674432
AsPC-1,25183872,-0.8583413037674358
IMR-32,decitabine-navitoclax (2-1 mol-mol),-1.0449082670231582
PE/CA-PJ15,11964036,1.4785290961040634
KMH-2,5470400,-1.131447733049698
AsPC-1,selumetinib-tretinoin (2-1 mol-mol),1.7169571239818917
GSS,136227924,2.0459518542117983
GSS,60750,-4.813514903707047
BT 112,7326481,3.170225390322452
PLC/PRF/5,16038120,2.904407936478441
PC-14,16013152,4.486002154562109
CML-T1,15953870,2.3626237456804025
GSS,24785538,-0.965111989476808
HEC-108,51037431,2.239611554360474
PE/CA-PJ15,252682,6.5374935724785335
IMR-32,42642645,-1.1438472820018184
BC-3C,12001922,2.342706988586835
PLC/PRF/5,25102847,3.721124468986592
AsPC-1,1566236,2.844580785967763
CML-T1,11625818,4.307055863962681
AsPC-1,10184653,1.884059851333118
AsPC-1,16219061,4.6595447221902955
BC-3C,25195348,3.5629849051305227
AsPC-1,409805,5.083096669481897
HEC-108,navitoclax-piperlongumine (1-1 mol-mol),-0.8310694921552283
KYSE-510,25161177,5.577033840224449
CML-T1,4521392,4.044943461780163
TC-71,4521392,4.289191985720217
SK-MEL-2,2729026,2.9654254504210296
GSS,46191454,0.0707062454995161
BC-3C,72193861,0.2761573926255262
PC-14,selumetinib-BRD-A02303741 (4-1 mol-mol),1.6810269495399257
PE/CA-PJ15,5278396,3.6789098748784808
