cell_line_id,drug_id,response,predictions
HT115,984333,0.4002320848773198,0.5405036785923724
ECC10,56973724,1.9827753072040135,2.807092155581153
SIG-M5,46926350,-5.121747869995948,-4.080456027119124
TE-5,54678924,1.5236248369971253,2.1621067677157706
MES-SA,9866186,0.9290169733311512,0.6952989429251456
JeKo-1,9887053,3.7322509372114014,2.9428405532315174
LAMA-84,25262965,-2.2297576749162658,-1.7418741097156754
TE-5,100016,6.463093527046919,6.154939200347734
MES-SA,9936388,2.5692609882827964,-2.770491662882798
HT115,15953870,3.427136718543439,3.1633490157858404
MHH-CALL-4,SNX-2112-bortezomib (250-1 mol-mol),-2.3571867413235714,-1.5162160852187816
KCL-22,31703,-1.5309131877847932,-1.416888724802616
TE-11,5113032,4.532325102566281,4.545205895112279
A-375,6852167,3.704250523230319,2.813498844853352
KNS-62,11485656,3.204340501575354,2.2340838967063514
MES-SA,JQ-1-vorinostat (2-1 mol-mol),1.1576177653860995,0.900017468457477
MES-SA,462382,-0.1633534537116309,0.37725557067941645
CAL-33,24951314,1.6899725259176115,1.534517759972699
MDA-MB-415,6917907,2.958069882684443,-4.924557493600421
RPMI-7951,26596,-1.730558618097036,-1.2124370163217386
SW620,10113978,2.1371202530737974,2.903503245200085
697,10113978,1.2215533451799487,2.5175204493933214
SIG-M5,9866186,-0.469337765591878,0.6853741370843701
GB-1,72376,-1.8437115420113963,-1.7008872247371105
L-540,53325874,5.141925216482491,4.27189026310336
YH-13,216345,4.472180809621783,3.9264788593774926
TE-10,44607531,1.5039143378496076,1.546313238247349
KCL-22,637858,1.7963655240899727,1.4377774850005833
KNS-62,5746,2.0120703748628608,1.2205279790836696
NCI-H69,6918878,1.9450769167430224,2.636001172459414
AU565,44620216,3.755834453350393,3.9425951495899314
AU565,613753,3.214352381260741,3.2607468117749594
Rh30,568763,0.0447634760099069,0.8630661746263674
KNS-62,UNC0638-navitoclax (1-1 mol-mol),3.437270318122968,1.42898167370259
IPC-298,44819697,-0.2041932793061016,-0.39321853340866025
BV-173,vorinostat-carboplatin (1-1 mol-mol),1.878462476708255,2.7012504835278874
SJSA-1,135440466,1.4837913876736797,2.3309537344889026
AU565,11609586,0.8886557909894768,2.660549352884439
RPMI-7951,10302451,2.662563983337758,3.3702450616542836
SK-MEL-24,54618771,0.9964231192757652,1.174847787844565
GB-1,selumetinib-vorinostat (8-1 mol-mol),3.3033356812645,2.3471772790605674
TE-11,1566236,3.9613648784907625,2.355668675182692
Karpas-422,25183872,-1.8512729311509144,-1.6525117335125257
LCLC-103H,241158,3.440238106244061,4.050465751555869
KCL-22,selumetinib-UNC0638 (4-1 mol-mol),3.126709516806407,2.507268164918961
HT-144,44462760,-4.521822585013576,3.390414125157364
CCK-81,57519531,1.4442507940377596,2.2324565731572257
CAL-33,2828334,6.663771268726494,6.086003863326213
CCK-81,54619267,3.070406547167575,3.890062817159723
OVCAR-4,969516,2.645459289279924,2.925683350934978
AU565,JQ-1-UNC0638 (2-1 mol-mol),2.17780253884304,1.3478539674008982
