cell_line_id,drug_id,response
COR-L88,11404337,0.6108297700178786
HOP-92,262093,2.340026978235907
NCI-H647,3136844,4.211694107828882
G-401,136227924,2.3105932180874365
RERF-LC-MS,9926054,1.8051014319834384
D283 Med,selumetinib-vorinostat (8-1 mol-mol),2.011575118738352
TUHR14TKB,6918878,4.584602463554373
NCI-H1563,100016,6.550294719377214
IST-Mes1,136227924,2.313131576565863
OVCAR-5,selumetinib-vorinostat (8-1 mol-mol),0.2015701638150661
D283 Med,9911830,1.6953738838285617
BT 228,136227924,3.2498510190278314
42-MG-BA,selumetinib-vorinostat (8-1 mol-mol),3.737674590470835
Daoy,selumetinib-vorinostat (8-1 mol-mol),2.406498201434062
HMC-1-8,262093,2.6952463235362414
U-251MG,11404337,1.3506850952063736
HPAC,selumetinib-vorinostat (8-1 mol-mol),1.7368980324290706
DB,11404337,-1.658875879170345
HCC1195,selumetinib-vorinostat (8-1 mol-mol),1.6123669197012191
MIA PaCa-2,10322450,3.5979699373077585
NCI-H1793,10322450,3.1720779233297405
Yamato-SS,262093,2.7505818299570897
NCI-H1563,3136844,4.35288827743353
RVH-421,262093,2.8806904491125
SK-N-SH,9926054,1.7311235151913027
VMRC-LCD,100016,6.5149453048399515
NCI-H727,11404337,0.8145711342672778
KYSE-520,11404337,-0.584711234415048
JM-1,9926054,1.6867956204893688
TUHR14TKB,selumetinib-vorinostat (8-1 mol-mol),2.7160873557760024
SW1710,9911830,2.762967184848754
Jurkat,9911830,2.1111759475111027
SW1573,11404337,-1.3449252751203844
DK-MG,selumetinib-vorinostat (8-1 mol-mol),3.2742327803422757
NCC-StC-K140,selumetinib-vorinostat (8-1 mol-mol),0.7044083601205671
KMS-21-BM,9926054,0.3453207317075127
IST-Mes1,9911830,1.5716425903239464
SNU-1077,246676,5.4377451130468435
KMS-27,6918878,3.015060659774869
DLD-1,3136844,4.367343669003209
Hs 822.T,3136844,6.341649778749426
LC-1F,selumetinib-vorinostat (8-1 mol-mol),0.4234700662281405
LUDLU-1,9911830,2.1966438359182767
NU-DHL-1,262093,0.667372891927881
TF-1,136227924,2.8858592548660766
IST-Mes1,9926054,1.778703370274458
SNU-738,9911830,2.353180115035864
Hs 683,9911830,1.9641699230536744
WM88,9911830,1.6479325280433286
JHUEM-1,246676,4.366062260954229
LOX-IMVI,100016,4.319089113839007
SNU-119,262093,2.598697839644185
BT 187,10322450,6.076847615310279
OCI-AML-3,3136844,3.750330367397955
HCC78,9911830,2.672892482708517
HT115,9911830,2.3719194937966583
COLO 684,10322450,3.614358100313302
L-428,262093,2.197551267633171
JVM-3,6918878,-0.1184334237478748
LAMA-84,selumetinib-vorinostat (8-1 mol-mol),0.1963960485996854
NCI-H2106,136227924,2.8262070038466955
SKM-1,6918878,-0.8378415751208989
BT 504,selumetinib-vorinostat (8-1 mol-mol),3.416857931230803
MOLT-16,9911830,2.5212447547414696
GI-1,9926054,1.7357819318992778
SUIT-2,9911830,3.581224696062468
LMSU,9926054,1.9493229998791417
SNU-878,selumetinib-vorinostat (8-1 mol-mol),2.250653624443524
A101D,selumetinib-vorinostat (8-1 mol-mol),3.608310140298691
KMS-28BM,selumetinib-vorinostat (8-1 mol-mol),1.8148707559723616
OV56,9926054,1.8437049272321575
IGR-39,136227924,2.6355333557661167
NU-DHL-1,9926054,1.5745053582273782
BT 286,246676,1.6855048913308266
SU-DHL-10,9911830,2.8677867441941274
BT 172,262093,2.689184232302602
SNU-407,100016,6.489561303898527
NCI-H1666,11404337,-2.6853606173229125
U-BLC1,11404337,-1.495782153452068
KMS-20,10322450,3.2597318465423353
CHP-212,6918878,-1.2295250328780245
SET-2,9926054,1.6776501813643687
HCC1419,262093,3.0653031319463624
BT 131,9926054,2.1358376599970397
PC-14,100016,6.551425062945198
BT 440,9911830,1.1775891461683867
SCC-4,9926054,1.835519091908301
HCC1833,selumetinib-vorinostat (8-1 mol-mol),2.3317673316592753
Mino,100016,3.8828597807205023
Hs 294T,3136844,4.088065037649113
OCI-AML-3,selumetinib-vorinostat (8-1 mol-mol),-2.4724160390070775
EPLC-272H,11404337,-0.7906068386477291
KMS-20,selumetinib-vorinostat (8-1 mol-mol),-0.0574541449020858
SW579,3136844,4.1885788435527855
HT-29,262093,3.4460135622894263
BL-70,9926054,1.763509439822291
KMRC-20,100016,7.210629640241846
MOLT-16,selumetinib-vorinostat (8-1 mol-mol),2.410769382861759
EoL-1,3136844,3.326483406194643
MDA-MB-435S,100016,6.42664314163943
Ki-JK,9911830,1.963510545330546
NCI-H520,262093,2.5616079053074787
SU-DHL-10,6918878,-1.1314089472233464
IA-LM,9926054,3.212619063516659
SR,9911830,3.2159510774302964
Calu-3,9911830,2.7294588365608305
KYO-1,10322450,3.690990391858763
HuG1-N,selumetinib-vorinostat (8-1 mol-mol),3.312476011895398
HCC1438,262093,5.151605944522477
BT 428,selumetinib-vorinostat (8-1 mol-mol),0.9101675495588571
SK-N-DZ,136227924,0.9645463461515836
HCC827,44484440,3.373310239080704
PE/CA-PJ41 (clone D2),9926054,1.8762765503479524
HCC366,6918878,4.087154951350268
HT-1376,selumetinib-vorinostat (8-1 mol-mol),2.644964050552289
G-361,11404337,-0.7972280561087973
