cell_line_id,drug_id,response
GA-10,135659046,2.94673518989487
SNU-423,11404337,0.0022687984612849
SBC-5,49766530,2.674414744921775
NCI-H2122,10302451,3.7465874333262654
HPAC,10302451,3.6769046300144543
BT 228,327653,3.1357639702509865
Pfeiffer,tanespimycin-bortezomib (250-1 mol-mol),-0.0267896609776724
F-36P,1716436,1.9099514352495048
BT 271,tanespimycin-bortezomib (250-1 mol-mol),-3.34346586365967
NCI-H2106,49766530,-2.15877326131524
KNS-60,tanespimycin-bortezomib (250-1 mol-mol),1.2079185483503194
A2058,11404337,-0.7992092997258325
YD-38,tanespimycin-bortezomib (250-1 mol-mol),-0.8254079071300491
NCI-H647,11167602,1.715536193581494
HT,1716436,3.046652269634994
NCI-H661,16013152,4.678017706607999
COLO 792,327653,2.8843710408539964
NCI-H929,11404337,-0.6691193705825791
NCI-H522,10302451,3.5044820085806645
IGR-39,10302451,3.7276422504611024
SNU-449,tanespimycin-bortezomib (250-1 mol-mol),1.8616843727931585
PaTu 8902,11404337,0.5155229173062875
Mono-Mac-6,tanespimycin-bortezomib (250-1 mol-mol),4.2631567174447556
BT-474,1716436,2.941904750150848
RL,1716436,3.3080305234789344
LOX-IMVI,49766530,-3.939815107547984
OVISE,49766530,-2.0570642495309004
NCI-H647,327653,3.987842659559465
SK-MEL-3,1716436,2.062931798331765
WM88,49766530,-2.7931642846980336
CAL-54,1716436,3.7692693501535985
G-401,49766530,-2.7444300270308113
LCLC-97TM1,49766530,0.6419783818490065
ESS-1,16013152,5.626524469878935
JHOC-5,10302451,1.853023270405576
NH-6,10302451,3.668750555789657
NCI-H1703,10302451,1.82214372973452
Fu97,124202324,0.8550876859272485
PK-59,11404337,0.8851709837592256
HuCC-T1,124202324,2.786280828489934
CCF-STTG1,1716436,2.5445739903865503
KO52,16013152,3.657905355539016
HCC78,tanespimycin-bortezomib (250-1 mol-mol),1.9748974265856916
Hs 578T,1716436,2.638927503029608
BT 232,10302451,4.010899903190945
Kasumi-2,10302451,2.501538159290375
CMK,327653,3.684751642752481
SK-MEL-1,1716436,3.820132210959846
KHM-1B,374536,2.314533071976094
JM-1,327653,2.4402793258430786
SNU-503,135659046,5.578031724761291
SW579,135659046,3.634666498260953
BT 216,11404337,-0.0425915422639234
GI-1,49766530,-2.6650453503199776
Kasumi-1,327653,2.8937710692107688
ES-2,tanespimycin-bortezomib (250-1 mol-mol),0.7819342630175604
NALM-6,374536,-0.1205445604705443
DEL,49766530,-2.519225091580242
HuG1-N,374536,0.8897544472578539
Panc 03.27,49766530,0.7469851659716551
SNU-466,1716436,1.9944947082053208
M-07e,11404337,-0.615837130994534
KYSE-410,10302451,1.6161895544560456
HLF,16013152,4.103989759396265
REC-1,374536,2.3703708600058446
GI-1,11167602,4.291743377924148
KMS-27,327653,2.9836297632664905
EJM,49766530,-0.6352274600767028
MOLP-2,374536,2.3162575999055703
BCP-1,374536,-5.774604213392271
BT 286,374536,3.426675663898697
NCI-H2171,tanespimycin-bortezomib (250-1 mol-mol),-0.2558464529397277
SUIT-2,11404337,0.4217329969696077
REC-1,49766530,2.1728933829794395
A-673,tanespimycin-bortezomib (250-1 mol-mol),-0.1560084319129122
BT 416,374536,3.9740957780448474
SK-ES-1,135659046,3.743123640282263
MFE-319,tanespimycin-bortezomib (250-1 mol-mol),0.5813484013187771
SNU-407,49766530,0.1037791929989153
T-47D,11404337,0.5836773446504185
SNU-466,327653,2.6893389012281834
SU-DHL-8,tanespimycin-bortezomib (250-1 mol-mol),-0.6950122900269923
OV56,327653,3.693872160162438
JHUEM-1,16013152,3.7061091021254624
EFE-184,16013152,4.662699583144996
IGROV-1,11404337,-0.7659238947812715
KMRC-1,374536,2.325099751463231
HCC4006,49766530,-3.027931972438472
HCC2935,135659046,3.704118522372791
PE/CA-PJ41 (clone D2),135659046,4.325865774807889
HeLa,374536,4.0035832763140995
JHUEM-7,327653,3.126202180618715
SNU-719,124202324,2.4880635508648776
SNU-5,49766530,-2.0910598582068776
KE-39,327653,3.149148027412197
NCI-H1651,10302451,3.925825953548281
RMG-I,10302451,1.8334248355675016
H-STS,1716436,2.174736460628774
MDA-MB-453,135659046,3.699316020945489
OVSAHO,374536,1.2747809253561495
OV-90,1716436,3.296930763756102
NH-6,11404337,-1.1373922103777243
Hs 895.T,11404337,0.3575168130913553
TE-4,16013152,4.906129423274357
