cell_line_id,drug_id,response
Mono-Mac-6,9935249,1.9756983103736592
TUHR10TKB,656346,-1.614193191980531
HEC-6,3503,1.343195613515244
EJM,JQ-1-carboplatin (1-1 mol-mol),0.7172378388996342
CAL-148,JQ-1-carboplatin (1-1 mol-mol),1.5060433709656682
RERF-LC-A1,2749,1.8227713818128584
A-172,10296883,3.776077319077153
AN3-CA,10296883,3.730893077527662
MOLP-2,6918837,-4.625541967981719
LS180,6918837,-2.789669873343886
JM-1,9911830,1.0886367976495992
SNU-C4,6918837,-0.8821018552678458
NCI-H1869,9935249,4.228137987840005
SU-DHL-1,9935249,2.376788737359572
SW620,6918837,-1.7021972364874514
HCC78,9935249,4.286479592386118
KE-39,JQ-1-carboplatin (1-1 mol-mol),1.0085240512621525
HEC-265,656346,1.4267223068389032
PE/CA-PJ49,10296883,4.094155197512124
MKN74,JQ-1-carboplatin (1-1 mol-mol),1.391387927225722
Fu97,9911830,1.8298922650541032
MOLM-6,9935249,2.359977585309934
SNU-182,82146,4.164157515125989
NU-DUL-1,656346,0.3222786833063732
NCI-H146,9935249,1.0600603569941576
BICR 6,9935249,3.132544852482652
Raji,2749,0.6023054030818428
KNS-62,3503,1.1630263113210568
IA-LM,10296883,4.25848729020474
SNU-761,3503,2.8414330927541225
NCI-H2029,10296883,4.228313124120171
KMS-26,54618305,4.443948888927761
Panc 10.05,54618305,4.6350576039907265
TE 441.T,54618305,3.9313540825452775
SNU-201,3503,2.892942947201173
HEC-1-A,3503,1.5881090569518923
MOLM-13,3503,1.2246558483585983
BL-70,2749,0.441585520699734
Kelly,9935249,2.7785496119201807
NCI-H2228,9911830,3.4174310144841087
HT-1197,3503,1.5961096622928206
MDA-MB-435S,10296883,4.225013123345449
SK-BR-3,JQ-1-carboplatin (1-1 mol-mol),3.127240758828175
SR,2749,1.5168283751063043
CL-11,9935249,5.287545766743186
KNS-60,2749,2.282516452753703
RVH-421,10296883,3.51018214130791
TT2609-C02,9935249,3.1187203148031566
A-549,9911830,2.245916242551202
SF126,2749,2.7930827650613645
HDQ-P1,3503,3.3355942945766346
OE21,3503,1.8943716488769395
NCI-H727,9935249,3.73205967923935
CML-T1,6918837,-4.73728443815153
MOLM-6,9911830,-0.7023129144143456
U-251MG,9935249,3.268808759101635
HCC2279,6918837,-2.43975605715931
SKM-1,9911830,2.174138233230932
KMS-12-BM,3503,1.8657686630799155
CAL-33,3503,2.594767000145775
C2BBe1,82146,4.314353529162879
M-07e,6918837,-5.51921108058235
KMS-21-BM,2749,0.694172664041068
ECC10,82146,3.01971463984994
KE-37,2749,-0.8689394969459882
KMS-18,JQ-1-carboplatin (1-1 mol-mol),0.042136194628161
SNU-46,9911830,2.761121036862751
PE/CA-PJ15,9911830,3.3068944538526672
OVK18,6918837,-3.4005202387500773
HCC38,9911830,2.511221746544401
TE-9,3503,2.2355723005803334
KNS-60,82146,3.684109588349022
KYSE-70,2749,2.2442090130660577
SF126,9911830,2.2004202096383194
Yamato-SS,JQ-1-carboplatin (1-1 mol-mol),0.686256399915639
SiMa,2749,0.4217029901704113
BICR 18,9911830,1.5303849230242863
KP-4,82146,3.3218041213797185
SUP-T1,656346,0.3360986651377137
KE-39,9911830,2.572250482212608
SNU-685,6918837,-3.1157005642834266
KYSE-450,9911830,2.46681001783931
Panc 10.05,2749,2.357860335718774
Karpas-620,9911830,2.708216754691897
NCI-H358,JQ-1-carboplatin (1-1 mol-mol),-0.0841702060243808
SF295,2749,2.7004315966238757
HCC1438,2749,1.964530759919677
NCI-H1339,JQ-1-carboplatin (1-1 mol-mol),3.0025540987138326
KMS-18,9935249,3.004576680840286
Peer,3503,1.2460551400755662
MES-SA,2749,2.061599402086278
Peer,2749,-0.1214886064673104
NCI-H1755,6918837,-2.962241459266825
TALL-1 [Human adult T-ALL],6918837,-5.490250161343391
IST-Mes1,9911830,1.5716425903239464
8305C,3503,3.083495801489724
WT2-iPS,3503,1.497640540475565
DOV13,82146,3.694230464357021
KE-97,JQ-1-carboplatin (1-1 mol-mol),-0.8780333698313584
BEN,6918837,-2.1077550209062963
KP-4,6918837,-1.774783385584419
8-MG-BA,10296883,4.312011375690635
Hs 888.Lu,3503,2.428242499793542
MSTO-211H,3503,2.7854032891391163
GDM-1,9911830,1.163129304540652
T24,9911830,3.4233816907191468
Hs 895.T,3503,3.0284746596877725
REC-1,54618305,4.3771111696641185
SUP-T1,2749,0.4619790624765804
SNU-1033,JQ-1-carboplatin (1-1 mol-mol),1.515968870431384
CJM [Human melanoma],10296883,4.108453768620905
8-MG-BA,9935249,5.559500366284677
SNU-C2A,656346,1.1924255505229702
EM-2,2749,1.1269594060065131
NCI-H2342,2749,2.532689519324529
AML-193,82146,3.3371673157023665
Calu-3,9911830,2.7294588365608305
Kasumi-1,3503,1.3925269560786868
SNU-899,656346,2.4880220355653972
HuNS1,9935249,0.4549731816761326
HEC-151,JQ-1-carboplatin (1-1 mol-mol),1.2344499659819954
BFTC-909,656346,-0.1018552101429806
