cell_line_id,drug_id,response
Ku812,24180719,2.5562197151601413
KMRC-20,136227924,3.298573049161518
MIA PaCa-2,9936388,-9.05612896602556
Mel Ho,136227924,2.792099034627563
EFE-184,156414,6.238077429363588
BICR 16,135875424,5.068625182385868
GMS-10,10302451,3.793654439719216
HGC-27,156414,1.4531209246757668
L-540,136227924,2.3931383545900524
BT 416,9936388,-4.783265609756594
SNU-449,135875424,4.841371934548395
Jurkat,136227924,2.4803602069258712
COLO 201,10302451,3.777843454625055
KMS-26,9915743,-1.9616830637475051
CAL-78,9936388,2.7062290727666816
KYM-1,156414,1.5083149541884115
KMRC-1,4259181,1.968851453570829
RPMI-6666,24180719,3.48215874438346
NUGC-4,136227924,2.1432448607030308
Ku812,136227924,2.6493599225721742
KMS-21-BM,4259181,-1.425243005712458
Mino,4259181,-0.1308029844207646
MKN74,4259181,1.058479464010789
RCH-ACV,BRD-K27188169-navitoclax (2-1 mol-mol),-0.4738742154532085
BHY,44489367,6.340314331461489
SNU-1079,24180719,1.6141219894609071
SNU-C1,136227924,2.406947195401098
HeLa,9915743,4.03760238390019
EC-GI-10,327653,3.618269807161223
NCI-H1734,135875424,3.3840426001662727
SNU-81,9936388,-6.314751034125396
HEC-108,4259181,0.4931043474853455
HCC366,BRD-K27188169-navitoclax (2-1 mol-mol),3.586818183472054
BT 145,327653,2.8678553441980386
SNU-216,54626689,5.715021569760538
Mel Ho,10302451,3.2236880748887007
HSC-4,9936388,2.361545024779824
ES-2,9936388,2.136137651865657
JHH-2,24180719,3.6723733137319705
MDST8,10302451,4.267643132743765
TE-8,327653,2.91040693421224
NCI-H1573,BRD-K27188169-navitoclax (2-1 mol-mol),3.4964989146437597
PK-1,9936388,-3.885789608116406
KYO-1,327653,3.22619937571039
NCI-H69,10302451,3.5556757771647653
WSU-DLCL2,135875424,2.114413324161352
HT-144,135875424,4.403596226349448
786-O,54626689,4.241906872411121
NCI-N87,156414,-4.435299577962505
SK-MEL-2,10302451,4.273835624093029
T-47D,24180719,3.970410948496811
Raji,4259181,-0.4985032966889935
SK-MEL-3,9915743,2.9768628838576037
SCaBER,327653,3.3904080006606394
SK-MES-1,54626689,4.736636064579195
Toledo,24180719,3.70402815117446
KYSE-70,9915743,1.2522553618909642
KYSE-520,135875424,4.420553116763078
KP-3,135875424,4.114191182933948
HCC2279,327653,3.624968533475722
NCI-H23,10302451,3.1322195915738167
SK-MEL-1,9936388,1.368356716964437
HCC38,4259181,0.7320315366357028
SNU-1,4259181,0.1990520766980941
L-363,9936388,-7.043187460159181
NCI-H2087,9936388,0.7446762448927194
EC-GI-10,4259181,1.6950184604495684
BT 422,156414,1.8271774190955228
BC-3C,9915743,1.1334859275806484
L-540,24180719,3.424167945886372
Aska-SS,136227924,2.71481465035111
NCI-H1975,10302451,1.3559914628717409
KMS-18,10302451,3.935362839755576
Pfeiffer,4259181,-0.2784459130692439
Granta-519,327653,2.833903719231272
SNU-1077,135875424,3.798963502018643
NCI-H1792,9936388,2.616597511132069
PLC/PRF/5,24180719,4.127629216534508
HCC1438,135875424,4.418316451963679
KE-97,9936388,-5.867495812584186
NCI-H1792,135875424,3.896639880830057
P31/FUJ,BRD-K27188169-navitoclax (2-1 mol-mol),0.0086353275600694
DU4475,156414,1.2292286945344073
SNU-449,24180719,3.8016565421464072
HCC1428,10302451,3.907203878611604
SW1271,9915743,1.6128868969613257
JJN-3,327653,3.1728287046324386
NCI-H520,10302451,3.2587774106229146
BT 172,9936388,-4.290165173398555
Daoy,156414,1.891767382024244
