cell_line_id,drug_id,response,predictions
KMS-12-BM,tanespimycin-bortezomib (250-1 mol-mol),-0.6230177375781689,0.8568385092544917
EJM,46199207,3.0615007754696095,2.7075263776406944
MES-SA,9866186,0.9290169733311512,2.9245581461271284
NCI-H2170,375860,0.3943136214520606,2.132309130841755
Daoy,selumetinib-GDC-0941 (4-1 mol-mol),2.0496212726424914,0.8898181533824578
NCI-H838,46191454,1.8380071805207052,2.619114006050545
SNU-5,11964036,0.0374331258618851,3.2140479222879583
HT115,15953870,3.427136718543439,2.559476921296482
SNU-449,BRD-K55473186,5.1406225681359174,1.8873273562466497
CAL-33,24951314,1.6899725259176115,1.4355411766618185
U266B1,262093,2.320136156024279,3.5115916310093294
SK-N-SH,11719255,2.9041919167957007,1.9358240267914228
BT-20,4259181,1.436733914806858,3.206273035149351
D283 Med,tretinoin-carboplatin (2-1 mol-mol),0.0098310122185737,2.9116867356575393
PF-382,1716436,4.358638458244471,1.785865858009821
SF539,16736978,2.0915382548726353,1.0970039938117033
NCI-H1838,44185566,2.308532509397113,2.251768369345528
SIG-M5,9866186,-0.469337765591878,2.228931329032609
Mono-Mac-6,285033,-1.982838981659621,2.115256663105369
OE21,9866186,-0.2003776611728709,3.1212025961183394
AGS,66577038,3.016990223516085,1.8068893620670787
NCI-H2452,2733526,3.4563089712221,3.189865926004095
DU145,104842,-5.7011187916518935,1.64019092948112
786-O,54613361,0.6573437645781268,2.4464343565741933
MDA-MB-231,54649381,4.253092807097923,3.1549738316573634
NCI-H1792,3503,2.9689125672363046,3.432656046256984
BT-20,49793307,-1.3314896460203238,3.0780131724368958
OCUM-1,16736978,-0.4431939341683101,1.0869756059250897
ALL-SIL,24771867,-3.516684419884963,0.7540917915269251
NCI-H146,1716436,1.8968095332546364,2.473240313164884
MOLM-13,9866186,-0.4750218873797177,1.7098844758052396
SNU-C5,9866186,0.7687127359316717,3.115179652982618
SF268,2742550,4.301402217118159,2.1720450167711927
DMS 53,24771867,2.2893106691874308,1.374842987687083
NCI-H2081,104842,-6.196868817242243,0.6573332154618476
Lu-65,selumetinib-GDC-0941 (4-1 mol-mol),-1.6504739583037105,1.1671587453045225
Lu-65,3503,1.319082259857831,2.8314493390737088
NCI-H196,15953870,6.198131940680453,2.9608135777610847
Daoy,24771867,3.1474812172720625,2.1612997046818383
BHY,54454,2.8209091917402014,2.418228929939022
CAL-51,3136844,4.799885860604426,3.389451161117265
KMS-11,46191454,-1.0735350342493668,1.478058478646249
HCC15,24771867,-1.1106317715549263,1.998972079247312
A2780,66577038,2.715796351675557,0.9356127650994768
G-401,24779724,6.361263224396382,2.2527402509155983
HT,54613361,-1.5351523898857753,1.334849387103604
LCLC-97TM1,3503,2.904492448420953,3.2599732393152667
GaMG,9866186,3.397782428798093,3.4316740147860623
DBTRG-05MG,11964036,1.4947333604845077,3.8423459021811497
KATO III,5479543,3.4729574009190274,1.9175840418665586
SUP-T1,24771867,-1.7526538791604511,1.0195527035868321
RPMI-8402,selumetinib-GDC-0941 (4-1 mol-mol),2.2206105962068645,-0.5727147534540394
NCI-H23,tretinoin-carboplatin (2-1 mol-mol),4.7828678136507,3.047446985089111
NCI-H460,54454,2.7807551042334935,2.6999150004412478
HGC-27,selumetinib-GDC-0941 (4-1 mol-mol),-0.8359606589249554,0.5910353734053978
L-1236,24951314,-0.3483656751034901,1.2487172692516268
LOX-IMVI,227681,3.462857821438004,2.587626451122501
COLO 800,6918638,0.9384820746097428,2.716628883814711
LXF 289,66577038,2.7615792990535937,1.7095381032556387
SF539,285033,-3.6653668217695183,3.4415912908402024
RKO,24771867,6.323343540042099,1.8596017854310205
8505C,11625818,5.5061252845131134,2.160157005494592
